date,open,high,low,close,volume
2026-03-19,62000.0,62270.0,61660.8,61930.8,1000000.0
2026-03-20,61930.8,62200.8,61584.48,61854.48,1064948.69
2026-03-21,61854.48,62124.48,61494.18,61764.18,1128737.14
2026-03-22,61764.18,62034.18,61383.62,61653.62,1190228.74
2026-03-23,61653.62,61923.62,61247.32,61517.32,1248333.69
2026-03-24,61517.32,61787.32,61080.84,61350.84,1302031.16
2026-03-25,61350.84,61620.84,60880.9,61150.9,1350390.15
2026-03-26,61150.9,61420.9,60645.62,60915.62,1392588.39
2026-03-27,60915.62,61185.62,60374.46,60644.46,1427929.17
2026-03-28,60644.46,60914.46,60068.37,60338.37,1455855.43
2026-03-29,60338.37,60608.37,59729.65,59999.65,1475961.23
2026-03-30,59999.65,60269.65,59361.92,59631.92,1487999.92
2026-03-31,59631.92,59901.92,58969.95,59239.95,1491889.22
2026-04-01,59239.95,59509.95,58559.49,58829.49,1487712.88
2026-04-02,58829.49,59099.49,58137.01,58407.01,1475718.97
2026-04-03,58407.01,58677.01,57709.46,57979.46,1456314.84
2026-04-04,57979.46,58249.46,57284.01,57554.01,1430058.81
2026-04-05,57554.01,57824.01,56867.73,57137.73,1397648.79
2026-04-06,57137.73,57407.73,56467.33,56737.33,1359908.07
2026-04-07,56737.33,57007.33,56088.88,56358.88,1317768.56
2026-04-08,56358.88,56628.88,55737.58,56007.58,1272251.76
2026-04-09,56007.58,56277.58,55417.56,55687.56,1224448.0
2026-04-10,55687.56,55957.56,55131.68,55401.68,1175494.2
2026-04-11,55401.68,55671.68,54881.45,55151.45,1126550.71
2026-04-12,55151.45,55421.45,54666.97,54936.97,1078777.66
2026-04-13,54936.97,55206.97,54486.89,54756.89,1033311.34
2026-04-14,54756.89,55026.89,54338.51,54608.51,991241.05
2026-04-15,54608.51,54878.51,54217.86,54487.86,953586.89
2026-04-16,54487.86,54757.86,54119.86,54389.86,921279.0
2026-04-17,54389.86,54659.86,54038.53,54308.53,895138.59
2026-04-18,54308.53,54578.53,53967.22,54237.22,875861.22
2026-04-19,54237.22,54507.22,53898.89,54168.89,864002.63
2026-04-20,54168.89,54438.89,53826.39,54096.39,859967.39
2026-04-21,54096.39,54366.39,53742.7,54012.7,864000.72
2026-04-22,54012.7,54282.7,53641.29,53911.29,876183.42
2026-04-23,53911.29,54181.29,53516.3,53786.3,896430.29
2026-04-24,53786.3,54056.3,53362.84,53632.84,924491.81
2026-04-25,53632.84,53902.84,53177.13,53447.13,959959.25
2026-04-26,53447.13,53717.13,52956.69,53226.69,1002273.01
2026-04-27,53226.69,53496.69,52700.42,52970.42,1050734.0
2026-04-28,52970.42,53240.42,52408.66,52678.66,1104517.88
2026-04-29,52678.66,52948.66,52083.14,52353.14,1162691.89
2026-04-30,52353.14,52623.14,51726.96,51996.96,1224233.8
2026-05-01,51996.96,52266.96,51344.43,51614.43,1288052.78
2026-05-02,51614.43,51884.43,50940.91,51210.91,1353011.59
2026-05-03,51210.91,51480.91,50522.6,50792.6,1417949.8
2026-05-04,50792.6,51062.6,50096.3,50366.3,1481707.36
2026-05-05,50366.3,50636.3,49669.11,49939.11,1543148.31
2026-05-06,49939.11,50209.11,49248.17,49518.17,1601183.87
2026-05-07,49518.17,49788.17,48840.38,49110.38,1654794.64
2026-05-08,49110.38,49380.38,48452.11,48722.11,1703051.37
2026-05-09,48722.11,48992.11,48088.96,48358.96,1745133.88
2026-05-10,48358.96,48628.96,47755.5,48025.5,1780347.81
2026-05-11,48025.5,48295.5,47455.16,47725.16,1808138.7
2026-05-12,47725.16,47995.16,47190.01,47460.01,1828103.35
2026-05-13,47460.01,47730.01,46960.74,47230.74,1839998.0
2026-05-14,47230.74,47500.74,46766.6,47036.6,1843743.3
2026-05-15,47036.6,47306.6,46605.45,46875.45,1839425.93
2026-05-16,46875.45,47145.45,46473.83,46743.83,1827296.84
2026-05-17,46743.83,47013.83,46367.08,46637.08,1807766.13
2026-05-18,46637.08,47336.6362,46170.7092,46497.16876,1782000.0
2026-05-19,46497.16876,47194.6262914,46032.1970724,46357.67725372,1800000.0
2026-05-20,46357.67725372,47053.04241253,45894.10048118,46218.60422196,1818000.0
2026-05-21,46218.60422196,46911.88328529,45756.41817974,46079.94840929,1782000.0
2026-05-22,46079.94840929,46771.14763543,45619.1489252,45941.70856406,1800000.0
2026-05-23,45941.70856406,46630.83419252,45482.29147842,45803.88343837,1818000.0
2026-05-24,45803.88343837,46490.94168995,45345.84460399,45666.47178805,1782000.0
2026-05-25,45666.47178805,46351.46886487,45209.80707017,45529.47237269,1800000.0
2026-05-26,45529.47237269,46212.41445828,45074.17764896,45392.88395557,1818000.0
2026-05-27,45392.88395557,46073.7772149,44938.95511601,45256.7053037,1782000.0
2026-05-28,45256.7053037,45935.55588326,44804.13825066,45120.93518779,1800000.0
2026-05-29,45120.93518779,45797.74921561,44669.72583591,44985.57238223,1818000.0
2026-05-30,44985.57238223,45660.35596796,44535.71665841,44850.61566508,1782000.0
2026-05-31,44850.61566508,45523.37490006,44402.10950843,44716.06381808,1800000.0
