date,open,high,low,close,volume
2025-04-17,62000.0,62270.0,61660.8,61930.8,1000000.0
2025-04-18,61930.8,62200.8,61584.48,61854.48,1064948.69
2025-04-19,61854.48,62124.48,61494.18,61764.18,1128737.14
2025-04-20,61764.18,62034.18,61383.62,61653.62,1190228.74
2025-04-21,61653.62,61923.62,61247.32,61517.32,1248333.69
2025-04-22,61517.32,61787.32,61080.84,61350.84,1302031.16
2025-04-23,61350.84,61620.84,60880.9,61150.9,1350390.15
2025-04-24,61150.9,61420.9,60645.62,60915.62,1392588.39
2025-04-25,60915.62,61185.62,60374.46,60644.46,1427929.17
2025-04-26,60644.46,60914.46,60068.37,60338.37,1455855.43
2025-04-27,60338.37,60608.37,59729.65,59999.65,1475961.23
2025-04-28,59999.65,60269.65,59361.92,59631.92,1487999.92
2025-04-29,59631.92,59901.92,58969.95,59239.95,1491889.22
2025-04-30,59239.95,59509.95,58559.49,58829.49,1487712.88
2025-05-01,58829.49,59099.49,58137.01,58407.01,1475718.97
2025-05-02,58407.01,58677.01,57709.46,57979.46,1456314.84
2025-05-03,57979.46,58249.46,57284.01,57554.01,1430058.81
2025-05-04,57554.01,57824.01,56867.73,57137.73,1397648.79
2025-05-05,57137.73,57407.73,56467.33,56737.33,1359908.07
2025-05-06,56737.33,57007.33,56088.88,56358.88,1317768.56
2025-05-07,56358.88,56628.88,55737.58,56007.58,1272251.76
2025-05-08,56007.58,56277.58,55417.56,55687.56,1224448.0
2025-05-09,55687.56,55957.56,55131.68,55401.68,1175494.2
2025-05-10,55401.68,55671.68,54881.45,55151.45,1126550.71
2025-05-11,55151.45,55421.45,54666.97,54936.97,1078777.66
2025-05-12,54936.97,55206.97,54486.89,54756.89,1033311.34
2025-05-13,54756.89,55026.89,54338.51,54608.51,991241.05
2025-05-14,54608.51,54878.51,54217.86,54487.86,953586.89
2025-05-15,54487.86,54757.86,54119.86,54389.86,921279.0
2025-05-16,54389.86,54659.86,54038.53,54308.53,895138.59
2025-05-17,54308.53,54578.53,53967.22,54237.22,875861.22
2025-05-18,54237.22,54507.22,53898.89,54168.89,864002.63
2025-05-19,54168.89,54438.89,53826.39,54096.39,859967.39
2025-05-20,54096.39,54366.39,53742.7,54012.7,864000.72
2025-05-21,54012.7,54282.7,53641.29,53911.29,876183.42
2025-05-22,53911.29,54181.29,53516.3,53786.3,896430.29
2025-05-23,53786.3,54056.3,53362.84,53632.84,924491.81
2025-05-24,53632.84,53902.84,53177.13,53447.13,959959.25
2025-05-25,53447.13,53717.13,52956.69,53226.69,1002273.01
2025-05-26,53226.69,53496.69,52700.42,52970.42,1050734.0
2025-05-27,52970.42,53240.42,52408.66,52678.66,1104517.88
2025-05-28,52678.66,52948.66,52083.14,52353.14,1162691.89
2025-05-29,52353.14,52623.14,51726.96,51996.96,1224233.8
2025-05-30,51996.96,52266.96,51344.43,51614.43,1288052.78
2025-05-31,51614.43,51884.43,50940.91,51210.91,1353011.59
2025-06-01,51210.91,51480.91,50522.6,50792.6,1417949.8
2025-06-02,50792.6,51062.6,50096.3,50366.3,1481707.36
2025-06-03,50366.3,50636.3,49669.11,49939.11,1543148.31
2025-06-04,49939.11,50209.11,49248.17,49518.17,1601183.87
2025-06-05,49518.17,49788.17,48840.38,49110.38,1654794.64
2025-06-06,49110.38,49380.38,48452.11,48722.11,1703051.37
2025-06-07,48722.11,48992.11,48088.96,48358.96,1745133.88
2025-06-08,48358.96,48628.96,47755.5,48025.5,1780347.81
2025-06-09,48025.5,48295.5,47455.16,47725.16,1808138.7
2025-06-10,47725.16,47995.16,47190.01,47460.01,1828103.35
2025-06-11,47460.01,47730.01,46960.74,47230.74,1839998.0
2025-06-12,47230.74,47500.74,46766.6,47036.6,1843743.3
2025-06-13,47036.6,47306.6,46605.45,46875.45,1839425.93
2025-06-14,46875.45,47145.45,46473.83,46743.83,1827296.84
2025-06-15,46743.83,47013.83,46367.08,46637.08,1807766.13
